Date_Time,Traffic,Day,Month
11/1/2015 8:00,11,Sun,Nov
11/2/2015 8:00,12,Mon,Nov
11/3/2015 8:00,15,Tue,Nov
11/4/2015 8:00,13,Wed,Nov
11/5/2015 8:00,15,Thu,Nov
11/6/2015 8:00,13,Fri,Nov
11/7/2015 8:00,12,Sat,Nov
11/8/2015 8:00,11,Sun,Nov
11/9/2015 8:00,11,Mon,Nov
11/10/2015 8:00,14,Tue,Nov
11/11/2015 8:00,19,Wed,Nov
11/12/2015 8:00,15,Thu,Nov
11/13/2015 8:00,17,Fri,Nov
11/14/2015 8:00,11,Sat,Nov
11/15/2015 8:00,9,Sun,Nov
11/16/2015 8:00,13,Mon,Nov
11/17/2015 8:00,12,Tue,Nov
11/18/2015 8:00,17,Wed,Nov
11/19/2015 8:00,18,Thu,Nov
11/20/2015 8:00,15,Fri,Nov
11/21/2015 8:00,12,Sat,Nov
11/22/2015 8:00,8,Sun,Nov
11/23/2015 8:00,16,Mon,Nov
11/24/2015 8:00,23,Tue,Nov
11/25/2015 8:00,17,Wed,Nov
11/26/2015 8:00,11,Thu,Nov
11/27/2015 8:00,16,Fri,Nov
11/28/2015 8:00,16,Sat,Nov
11/29/2015 8:00,14,Sun,Nov
11/30/2015 8:00,16,Mon,Nov
12/1/2015 8:00,16,Tue,Dec
12/2/2015 8:00,18,Wed,Dec
12/3/2015 8:00,17,Thu,Dec
12/4/2015 8:00,14,Fri,Dec
12/5/2015 8:00,13,Sat,Dec
12/6/2015 8:00,11,Sun,Dec
12/7/2015 8:00,20,Mon,Dec
12/8/2015 8:00,16,Tue,Dec
12/9/2015 8:00,14,Wed,Dec
12/10/2015 8:00,14,Thu,Dec
12/11/2015 8:00,12,Fri,Dec
12/12/2015 8:00,12,Sat,Dec
12/13/2015 8:00,14,Sun,Dec
12/14/2015 8:00,16,Mon,Dec
12/15/2015 8:00,13,Tue,Dec
12/16/2015 8:00,17,Wed,Dec
12/17/2015 8:00,15,Thu,Dec
12/18/2015 8:00,16,Fri,Dec
12/19/2015 8:00,17,Sat,Dec
12/20/2015 8:00,11,Sun,Dec
12/21/2015 8:00,14,Mon,Dec
12/22/2015 8:00,15,Tue,Dec
12/23/2015 8:00,13,Wed,Dec
12/24/2015 8:00,14,Thu,Dec
12/25/2015 8:00,10,Fri,Dec
